,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy
35,1000000,250000,sine,8979,0.5,b'FFEAE43253A332C1',0.5db_10.0sigma_haystacks/2018-03-30_194617__13.txt,10.0,b'0000000000009F68',0.9996779082172338
36,1000000,250000,sine,257714,0.5,b'FFF38312A957E381',0.5db_10.0sigma_haystacks/2018-03-30_194617__130.txt,10.0,b'0000000000071B2D',0.9998094482956215
37,1000000,250000,sine,674302,0.5,b'FFF364FED268556E',0.5db_10.0sigma_haystacks/2018-03-30_194617__131.txt,10.0,b'0000000000020AC0',0.9998076555370131
38,1000000,250000,sine,692355,0.5,b'FFF2C90DD0CC424B',0.5db_10.0sigma_haystacks/2018-03-30_194617__132.txt,10.0,b'0000000000000000',0.9997983607034238
39,1000000,250000,sine,216677,0.5,b'FFF1AD51D04EA12E',0.5db_10.0sigma_haystacks/2018-03-30_194617__133.txt,10.0,b'0000000000000000',0.999781448816345
40,1000000,250000,sine,15910,0.5,b'FFF39FDBD0A74956',0.5db_10.0sigma_haystacks/2018-03-30_194617__134.txt,10.0,b'00000000000A3C64',0.999811164060387
41,1000000,250000,sine,578475,0.5,b'FFC1A7399DAB001C',0.5db_10.0sigma_haystacks/2018-03-30_194617__135.txt,10.0,b'00000000000BB699',0.9990486636794849
42,1000000,250000,sine,143402,0.5,b'FFEBC35AD1503D68',0.5db_10.0sigma_haystacks/2018-03-30_194617__136.txt,10.0,b'0000000000050FE3',0.9996912094805461
43,1000000,250000,sine,609217,0.5,b'FFEFD169D8FC04C0',0.5db_10.0sigma_haystacks/2018-03-30_194617__137.txt,10.0,b'00000000000A435C',0.9997530826012594
44,1000000,250000,sine,467385,0.5,b'FFF41EBF4CA44316',0.5db_10.0sigma_haystacks/2018-03-30_194617__138.txt,10.0,b'00000000000665D3',0.9998187272109513
45,1000000,250000,sine,482200,0.5,b'FFB0BF2A5D24F562',0.5db_10.0sigma_haystacks/2018-03-30_194617__139.txt,10.0,b'0000000000092750',0.9987906912257535
46,1000000,250000,sine,621297,0.5,b'FFF341E2329E90B4',0.5db_10.0sigma_haystacks/2018-03-30_194617__14.txt,10.0,b'000000000009A848',0.9998055627098614
47,1000000,250000,sine,158677,0.5,b'FFF3ADB48569E32E',0.5db_10.0sigma_haystacks/2018-03-30_194617__140.txt,10.0,b'0000000000033E5C',0.9998119893765884
48,1000000,250000,sine,385834,0.5,b'FFF317C97B4FE2D8',0.5db_10.0sigma_haystacks/2018-03-30_194617__141.txt,10.0,b'000000000006729E',0.9998030535601283
49,1000000,250000,sine,261552,0.5,b'FFF2C9250F3F8E06',0.5db_10.0sigma_haystacks/2018-03-30_194617__142.txt,10.0,b'0000000000063833',0.9997983661153269
50,1000000,250000,sine,333709,0.5,b'FFF1DF484ADF4B3C',0.5db_10.0sigma_haystacks/2018-03-30_194617__143.txt,10.0,b'000000000007DEEA',0.9997844268317496
51,1000000,250000,sine,709878,0.5,b'FFE7570CF9DA3C79',0.5db_10.0sigma_haystacks/2018-03-30_194617__144.txt,10.0,b'00000000000BFED4',0.9996237188987402
52,1000000,250000,sine,460546,0.5,b'FFF1799952A2C382',0.5db_10.0sigma_haystacks/2018-03-30_194617__145.txt,10.0,b'0000000000000000',0.9997783660243256
53,1000000,250000,sine,11892,0.5,b'FFF3C9D15052CE2D',0.5db_10.0sigma_haystacks/2018-03-30_194617__146.txt,10.0,b'0000000000024C52',0.9998136650104457
54,1000000,250000,sine,258847,0.5,b'FFF20C8E3F8E2A5B',0.5db_10.0sigma_haystacks/2018-03-30_194617__147.txt,10.0,b'0000000000040A7F',0.9997871253286169
55,1000000,250000,sine,181563,0.5,b'FFE20AC7D4B8F175',0.5db_10.0sigma_haystacks/2018-03-30_194617__148.txt,10.0,b'000000000006710D',0.9995428789013407
56,1000000,250000,sine,224148,0.5,b'FFF068C61B2ED21B',0.5db_10.0sigma_haystacks/2018-03-30_194617__149.txt,10.0,b'000000000004C046',0.9997621043832468
57,1000000,250000,sine,486759,0.5,b'FFF26B4DBA7B2EDA',0.5db_10.0sigma_haystacks/2018-03-30_194617__15.txt,10.0,b'000000000009D29B',0.9997927727476792
58,1000000,250000,sine,416064,0.5,b'FFF280CCB9C03D07',0.5db_10.0sigma_haystacks/2018-03-30_194617__150.txt,10.0,b'0000000000096AA8',0.9997940540140471
59,1000000,250000,sine,511871,0.5,b'FFF07FEAFFB49E75',0.5db_10.0sigma_haystacks/2018-03-30_194617__151.txt,10.0,b'00000000000A4239',0.99976348387982
60,1000000,250000,sine,178572,0.5,b'FFF15975F17E5F61',0.5db_10.0sigma_haystacks/2018-03-30_194617__152.txt,10.0,b'0000000000000000',0.99977645043827
61,1000000,250000,sine,525389,0.5,b'FFD177CF940E7409',0.5db_10.0sigma_haystacks/2018-03-30_194617__153.txt,10.0,b'00000000000A9A30',0.9992899781973906
62,1000000,250000,sine,98762,0.5,b'FFC16D699517A165',0.5db_10.0sigma_haystacks/2018-03-30_194617__154.txt,10.0,b'0000000000037E82',0.9990452177781592
63,1000000,250000,sine,323109,0.5,b'FFED453D4FBEB1AE',0.5db_10.0sigma_haystacks/2018-03-30_194617__155.txt,10.0,b'0000000000086BA0',0.9997142100034988
64,1000000,250000,sine,470499,0.5,b'FFF2850DAC76DA0C',0.5db_10.0sigma_haystacks/2018-03-30_194617__156.txt,10.0,b'0000000000000000',0.9997943075545338
65,1000000,250000,sine,256967,0.5,b'FFB367CC59042D6B',0.5db_10.0sigma_haystacks/2018-03-30_194617__157.txt,10.0,b'000000000006381A',0.9988312600990106
66,1000000,250000,sine,121664,0.5,b'FFF4090531ED5971',0.5db_10.0sigma_haystacks/2018-03-30_194617__158.txt,10.0,b'0000000000000000',0.9998174321826147
67,1000000,250000,sine,483074,0.5,b'FFF0FBB233639F54',0.5db_10.0sigma_haystacks/2018-03-30_194617__159.txt,10.0,b'0000000000081CB5',0.9997708616314314
68,1000000,250000,sine,18359,0.5,b'FFF2D0880AE28F6D',0.5db_10.0sigma_haystacks/2018-03-30_194617__16.txt,10.0,b'0000000000000000',0.9997988063941057
69,1000000,250000,sine,85882,0.5,b'FFF35845FD3E57A5',0.5db_10.0sigma_haystacks/2018-03-30_194617__160.txt,10.0,b'0000000000047C07',0.9998068972465658
70,1000000,250000,sine,544568,0.5,b'FFD1FF13DE2D0F68',0.5db_10.0sigma_haystacks/2018-03-30_194617__161.txt,10.0,b'00000000000B724C',0.9992980407243304
71,1000000,250000,sine,47386,0.5,b'FFF2EC23FB60A466',0.5db_10.0sigma_haystacks/2018-03-30_194617__162.txt,10.0,b'00000000000C1704',0.9998004520269911
72,1000000,250000,sine,108323,0.5,b'FFE95853BC8A08C0',0.5db_10.0sigma_haystacks/2018-03-30_194617__163.txt,10.0,b'000000000003B1DB',0.9996543125567215
73,1000000,250000,sine,544756,0.5,b'FFF38CC453164182',0.5db_10.0sigma_haystacks/2018-03-30_194617__164.txt,10.0,b'0000000000000000',0.9998100261028293
74,1000000,250000,sine,185081,0.5,b'FFADD1E964754DCE',0.5db_10.0sigma_haystacks/2018-03-30_194617__165.txt,10.0,b'00000000000554C1',0.9987460322194768
75,1000000,250000,sine,266778,0.5,b'FFE9EB72C087276F',0.5db_10.0sigma_haystacks/2018-03-30_194617__166.txt,10.0,b'0000000000056B22',0.9996630816608812
76,1000000,250000,sine,541206,0.5,b'FFF3EAE6B6FE7BB2',0.5db_10.0sigma_haystacks/2018-03-30_194617__167.txt,10.0,b'00000000000316F8',0.9998156369465451
77,1000000,250000,sine,658540,0.5,b'FFF39148E975BD95',0.5db_10.0sigma_haystacks/2018-03-30_194617__168.txt,10.0,b'0000000000016127',0.9998102953918169
78,1000000,250000,sine,382785,0.5,b'FFF31AD21BAFDBBA',0.5db_10.0sigma_haystacks/2018-03-30_194617__169.txt,10.0,b'00000000000E2E0A',0.9998032343825679
79,1000000,250000,sine,134542,0.5,b'FFF355E2FAD2E7AA',0.5db_10.0sigma_haystacks/2018-03-30_194617__17.txt,10.0,b'00000000000E559A',0.9998067549848418
80,1000000,250000,sine,394201,0.5,b'FFF3BABA59F4757F',0.5db_10.0sigma_haystacks/2018-03-30_194617__170.txt,10.0,b'0000000000000000',0.999812765594429
81,1000000,250000,sine,429289,0.5,b'FFC4E85C6A65AA59',0.5db_10.0sigma_haystacks/2018-03-30_194617__171.txt,10.0,b'000000000007B411',0.9990983224510247
82,1000000,250000,sine,284257,0.5,b'FFE6A2C1B5EB1AC5',0.5db_10.0sigma_haystacks/2018-03-30_194617__172.txt,10.0,b'000000000004F475',0.9996129725385966
83,1000000,250000,sine,415488,0.5,b'FFCCC262B1640D57',0.5db_10.0sigma_haystacks/2018-03-30_194617__173.txt,10.0,b'000000000006C8FF',0.9992181292485756
84,1000000,250000,sine,106154,0.5,b'FFB8427296743205',0.5db_10.0sigma_haystacks/2018-03-30_194617__174.txt,10.0,b'000000000005044C',0.9989053277735855
85,1000000,250000,sine,483660,0.5,b'FFB7A06E909C3379',0.5db_10.0sigma_haystacks/2018-03-30_194617__175.txt,10.0,b'000000000008EB9B',0.9988956708844945
86,1000000,250000,sine,46467,0.5,b'FFF2C4FCBFE2F71A',0.5db_10.0sigma_haystacks/2018-03-30_194617__176.txt,10.0,b'000000000009D445',0.999798118311343
87,1000000,250000,sine,251322,0.5,b'FFF05EF441C6E305',0.5db_10.0sigma_haystacks/2018-03-30_194617__177.txt,10.0,b'00000000000500FA',0.9997615190821096
88,1000000,250000,sine,597578,0.5,b'FFE56F9E8F048952',0.5db_10.0sigma_haystacks/2018-03-30_194617__178.txt,10.0,b'00000000000C1905',0.9995946657281981
