,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy,entropy_hex,sigma,start_window
1,1000000.0,250000.0,sine,17207.0,5.0,-5155596744801905,b'FFEDAF03176BC18F',20.9280352651,000000000001D251
1,1000000.0,250000.0,sine,362843.0,5.0,-41299784117293669,b'FF6D4610AE636D9B',20.9280352651,000000000008AD80
1,1000000.0,250000.0,sine,706568.0,5.0,-12290410965373203,b'FFD455EFB443EEED',20.9280352651,00000000000DD9E3
1,1000000.0,250000.0,sine,514068.0,5.0,-32982532714323212,b'FF8AD28FADC522F4',20.9280352651,000000000009EE5B
1,1000000.0,250000.0,sine,584265.0,5.0,-35211293706129649,b'FF82E783D2906F0F',20.9280352651,00000000000A4751
1,1000000.0,250000.0,sine,427455.0,5.0,-40281746907762888,b'FF70E3F6F0A16F38',20.9280352651,000000000007EA70
1,1000000.0,250000.0,sine,134672.0,5.0,-15615256622842421,b'FFC88601BFEB3DCB',20.9280352651,000000000005764A
1,1000000.0,250000.0,sine,137014.0,5.0,-4894709823067382,b'FFEE9C498FB7AB0A',20.9280352651,000000000007605F
1,1000000.0,250000.0,sine,406224.0,5.0,-27344933207866647,b'FF9ED9ED99BD02E9',20.9280352651,69646
1,1000000.0,250000.0,sine,700026.0,5.0,-40798705936532892,b'FF6F0DCB095B7A64',20.9280352651,00000000000DA5F0
1,1000000.0,250000.0,sine,207404.0,5.0,-40852294704101143,b'FF6EDD0DEDE708E9',20.9280352651,00000000000390A4
1,1000000.0,250000.0,sine,569866.0,5.0,-4741268448230248,b'FFEF27D76A5BC498',20.9280352651,30187
1,1000000.0,250000.0,sine,166668.0,5.0,-29825020047382075,b'FF960A4D62A829C5',20.9280352651,54565
1,1000000.0,250000.0,sine,417405.0,5.0,-4619401199662454,b'FFEF96ADD86B4A8A',20.9280352651,00000000000476AC
1,1000000.0,250000.0,sine,231788.0,5.0,-40296254430502096,b'FF70D6C524E42330',20.9280352651,0000000000064B49
1,1000000.0,250000.0,sine,606147.0,5.0,-39749857957174880,b'FF72C7B6FC9721A0',20.9280352651,00000000000CFD12
1,1000000.0,250000.0,sine,365506.0,5.0,-31796358930352428,b'FF8F096148CE36D4',20.9280352651,000000000007BEB3
1,1000000.0,250000.0,sine,518885.0,5.0,-4585229691574304,b'FFEFB5C2050527E0',20.9280352651,00000000000A40DD
1,1000000.0,250000.0,sine,606247.0,5.0,-22564519826034557,b'FFAFD5B0533DF083',20.9280352651,00000000000CC05C
1,1000000.0,250000.0,sine,187557.0,5.0,-5528299492701184,b'FFEC5C0A78868C00',20.9280352651,0000000000031A7C
1,1000000.0,250000.0,sine,553293.0,5.0,-13563720208340280,b'FFCFCFDE4B262AC8',20.9280352651,000000000008ECFA
1,1000000.0,250000.0,sine,519247.0,5.0,-34771880851076255,b'FF84772899B30B61',20.9280352651,90476
1,1000000.0,250000.0,sine,160579.0,5.0,-9740227508138519,b'FFDD65508F588DE9',20.9280352651,00000000000357F6
1,1000000.0,250000.0,sine,565719.0,5.0,-39398422671882113,b'FF740757E3EE887F',20.9280352651,00000000000AE1FB
1,1000000.0,250000.0,sine,135272.0,5.0,-27929540451678023,b'FF9CC63B1EA348B9',20.9280352651,0000000000026C04
1,1000000.0,250000.0,sine,374020.0,5.0,-4698414246576815,b'FFEF4ED12FD33D51',20.9280352651,00000000000C374B
1,1000000.0,250000.0,sine,420999.0,5.0,-15386581211447012,b'FFC955FC6495811C',20.9280352651,90839
1,1000000.0,250000.0,sine,143993.0,5.0,-21697620283316918,b'FFB2EA211A8AA54A',20.9280352651,000000000002500C
1,1000000.0,250000.0,sine,501307.0,5.0,-5062183796543857,b'FFEE03F87D04EE8F',20.9280352651,000000000008E63D
1,1000000.0,250000.0,sine,35797.0,5.0,-6732668418657431,b'FFE814AC7A83F369',20.9280352651,000000000000BDB2
1,1000000.0,250000.0,sine,53684.0,5.0,-41399581387536457,b'FF6CEB4CD18BC7B7',20.9280352651,000000000002F3CD
1,1000000.0,250000.0,sine,112140.0,5.0,-10330243523157434,b'FFDB4CB2C05BE246',20.9280352651,00000000000550A9
1,1000000.0,250000.0,sine,331770.0,5.0,-37846308855400331,b'FF798AFB8C9D3875',20.9280352651,0000000000063E3A
1,1000000.0,250000.0,sine,48029.0,5.0,-28927347592795889,b'FF993ABB0A6FE90F',20.9280352651,0000000000024D43
1,1000000.0,250000.0,sine,587130.0,5.0,-26535782081639085,b'FFA1B9D8C72FCD53',20.9280352651,00000000000C0384
1,1000000.0,250000.0,sine,177461.0,5.0,-41927639750850418,b'FF6B0B08A661488E',20.9280352651,0000000000039EF8
1,1000000.0,250000.0,sine,696183.0,5.0,-5908813948559507,b'FFEB01F70B8D5F6D',20.9280352651,00000000000AD9AD
1,1000000.0,250000.0,sine,689591.0,5.0,-40720040267472611,b'FF6F5556D09E211D',20.9280352651,00000000000E322E
1,1000000.0,250000.0,sine,640391.0,5.0,-33621286907556911,b'FF888D9E20FBCBD1',20.9280352651,00000000000AF108
1,1000000.0,250000.0,sine,121505.0,5.0,-26311863764650471,b'FFA2857FD2EDF619',20.9280352651,45132
1,1000000.0,250000.0,sine,76032.0,5.0,-4490988174067510,b'FFF00B785531B8CA',20.9280352651,00000000000558BF
1,1000000.0,250000.0,sine,525961.0,5.0,-22676561209865142,b'FFAF6FC9A85BCC4A',20.9280352651,000000000009E7AB
1,1000000.0,250000.0,sine,482638.0,5.0,-4887779845450594,b'FFEEA2971292549E',20.9280352651,74566
1,1000000.0,250000.0,sine,454789.0,5.0,-7293335598971128,b'FFE616BFFA654708',20.9280352651,86071
1,1000000.0,250000.0,sine,602357.0,5.0,-4765608596549762,b'FFEF11B44876CF7E',20.9280352651,00000000000CCC9A
1,1000000.0,250000.0,sine,27628.0,5.0,-29398432652953220,b'FF978E4800C4797C',20.9280352651,0000000000040DFA
1,1000000.0,250000.0,sine,293145.0,5.0,-19422972839034565,b'FFBAFEE8BB72813B',20.9280352651,00000000000618FB
1,1000000.0,250000.0,sine,706826.0,5.0,-4892420004747551,b'FFEE9E5EB38666E1',20.9280352651,000000000004043A
1,1000000.0,250000.0,sine,527733.0,5.0,-5696647603135760,b'FFEBC2EDDF345AF0',20.9280352651,00000000000AB34A
1,1000000.0,250000.0,sine,745768.0,5.0,-33487399554635464,b'FF89076335182938',20.9280352651,00000000000CE91F
1,1000000.0,250000.0,sine,269162.0,5.0,-10092404987540107,b'FFDC2502D9C9CD75',20.9280352651,000000000004F977
1,1000000.0,250000.0,sine,185672.0,5.0,-4922093691908896,b'FFEE8361C1F14CE0',20.9280352651,000000000004CCA6
1,1000000.0,250000.0,sine,666744.0,5.0,-8841375833087618,b'FFE096D0C624A17E',20.9280352651,00000000000D943D
1,1000000.0,250000.0,sine,361154.0,5.0,-27818384065390299,b'FF9D2B53BB8E9925',20.9280352651,000000000007C150
1,1000000.0,250000.0,sine,583903.0,5.0,-41238275794002291,b'FF6D7E01B4261E8D',20.9280352651,00000000000A1154
1,1000000.0,250000.0,sine,485086.0,5.0,-42258260205152543,b'FF69DE5613A556E1',20.9280352651,98284
1,1000000.0,250000.0,sine,8340.0,5.0,-27418419902555092,b'FF9E9717A567DC2C',20.9280352651,000000000000AA14
1,1000000.0,250000.0,sine,318235.0,5.0,-41910579632628869,b'FF6B1A8CC4AA9B7B',20.9280352651,000000000004E0F8
1,1000000.0,250000.0,sine,524778.0,5.0,-15764214527850475,b'FFC7FE87C8E78815',20.9280352651,00000000000AB99A
1,1000000.0,250000.0,sine,642273.0,5.0,-22872757405697345,b'FFAEBD592BCCBABF',20.9280352651,00000000000A8952
1,1000000.0,250000.0,sine,135751.0,5.0,-4755208354247221,b'FFEF1B29C7364DCB',20.9280352651,00000000000365F3
1,1000000.0,250000.0,sine,306326.0,5.0,-4626114248620914,b'FFEF9092D785448E',20.9280352651,00000000000B7C90
1,1000000.0,250000.0,sine,504276.0,5.0,-5665062874243011,b'FFEBDFA7C3C0203D',20.9280352651,000000000007C860
1,1000000.0,250000.0,sine,501653.0,5.0,-40109649509993362,b'FF71807C7CE4346E',20.9280352651,0000000000095F21
1,1000000.0,250000.0,sine,194510.0,5.0,-4598950527444221,b'FFEFA9476378DB03',20.9280352651,00000000000C3886
1,1000000.0,250000.0,sine,697893.0,5.0,-6249604994084221,b'FFE9CC0472575283',20.9280352651,00000000000D047D
1,1000000.0,250000.0,sine,641249.0,5.0,-20864555495620932,b'FFB5DFCC1D497EBC',20.9280352651,00000000000C7538
1,1000000.0,250000.0,sine,429846.0,5.0,-32534566586462207,b'FF8C69FBEBB15001',20.9280352651,00000000000902D2
1,1000000.0,250000.0,sine,733540.0,5.0,-4612947067592729,b'FFEF9C8C90AB1FE7',20.9280352651,00000000000B5D4F
1,1000000.0,250000.0,sine,387024.0,5.0,-35836998248437693,b'FF80AE70A195E843',20.9280352651,76912
1,1000000.0,250000.0,sine,173378.0,5.0,-32659139499284645,b'FF8BF8AF8779A75B',20.9280352651,000000000004A044
1,1000000.0,250000.0,sine,332499.0,5.0,-5008910416424751,b'FFEE346C29EAD0D1',20.9280352651,00000000000BD041
1,1000000.0,250000.0,sine,551088.0,5.0,-4651806580183542,b'FFEF7934E1396E0A',20.9280352651,000000000006AAB8
1,1000000.0,250000.0,sine,646882.0,5.0,-5443659655556423,b'FFECA90537F3D2B9',20.9280352651,00000000000A5730
1,1000000.0,250000.0,sine,56421.0,5.0,-4710743054626528,b'FFEF439AA999D120',20.9280352651,0000000000079C8B
1,1000000.0,250000.0,sine,110325.0,5.0,-17223244379737496,b'FFC2CF8CECDDB268',20.9280352651,28861
1,1000000.0,250000.0,sine,181507.0,5.0,-10530503316051558,b'FFDA9690228A699A',20.9280352651,000000000005498B
1,1000000.0,250000.0,sine,4663.0,5.0,-42472763333191466,b'FF691B3F2CE558D6',20.9280352651,11400000000.0
1,1000000.0,250000.0,sine,67716.0,5.0,-12007726554902724,b'FFD557094C228F3C',20.9280352651,000000000001A41D
1,1000000.0,250000.0,sine,137217.0,5.0,-36455061063911701,b'FF7E7C50AB0536EB',20.9280352651,000000000003AF64
1,1000000.0,250000.0,sine,154450.0,5.0,-38573606607599544,b'FF76F5825872C848',20.9280352651,0000000000027A33
1,1000000.0,250000.0,sine,690495.0,5.0,-4944366818290778,b'FFEE6F1FE42813A6',20.9280352651,00000000000462C1
1,1000000.0,250000.0,sine,37097.0,5.0,-4675710005165522,b'FFEF63776E11C22E',20.9280352651,0000000000012DF2
1,1000000.0,250000.0,sine,45228.0,5.0,-4872034356209446,b'FFEEB0E91ADD58DA',20.9280352651,000000000000C217
