,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
31,1000000,250000,sine,643681,18.266051,-5.0,b'FF9543BE72E360EA',-5.0db_10.0sigma_haystacks/2018-03-30_202624__126.txt,10.0,b'000000000009D29D',0.9983713474238249,0,250000
32,1000000,250000,sine,459172,18.284597,-5.0,b'FF94E07DB74440B7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__127.txt,10.0,b'0000000000070202',0.9983654314921901,0,250000
33,1000000,250000,sine,161403,18.305271,-5.0,b'FFA0802E3313C7FF',-5.0db_10.0sigma_haystacks/2018-03-30_202624__128.txt,10.0,b'0000000000027DE2',0.9985427964011954,0,250000
34,1000000,250000,sine,10946,18.310511,-5.0,b'FF9B8ACF8A9AEED4',-5.0db_10.0sigma_haystacks/2018-03-30_202624__129.txt,10.0,b'0000000000002AB6',0.9984671360676705,0,250000
35,1000000,250000,sine,564354,18.201215,-5.0,b'FF95706FF07F4024',-5.0db_10.0sigma_haystacks/2018-03-30_202624__13.txt,10.0,b'0000000000089CD4',0.9983740113534596,0,250000
36,1000000,250000,sine,556721,18.231423,-5.0,b'FF951DBE640D7DCD',-5.0db_10.0sigma_haystacks/2018-03-30_202624__130.txt,10.0,b'000000000008806A',0.9983690824338307,0,250000
37,1000000,250000,sine,551986,18.351232,-5.0,b'FF962023C492486B',-5.0db_10.0sigma_haystacks/2018-03-30_202624__131.txt,10.0,b'0000000000086CA6',0.998384484035861,0,250000
38,1000000,250000,sine,135948,18.296855,-5.0,b'FF979957DEC70809',-5.0db_10.0sigma_haystacks/2018-03-30_202624__132.txt,10.0,b'00000000000213C8',0.9984069671179691,0,250000
39,1000000,250000,sine,543616,18.250031,-5.0,b'FF90C5FD2BFEF2B7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__133.txt,10.0,b'0000000000084BE7',0.9983028166861876,0,250000
40,1000000,250000,sine,481747,18.205579,-5.0,b'FF95EB09CF534AD8',-5.0db_10.0sigma_haystacks/2018-03-30_202624__134.txt,10.0,b'0000000000075A35',0.9983813189458718,0,250000
41,1000000,250000,sine,697672,18.237365,-5.0,b'FFA181F9F815242F',-5.0db_10.0sigma_haystacks/2018-03-30_202624__135.txt,10.0,b'00000000000AA741',0.9985581622386986,0,250000
42,1000000,250000,sine,171788,18.27671,-5.0,b'FF96C9787DB8EC9D',-5.0db_10.0sigma_haystacks/2018-03-30_202624__136.txt,10.0,b'0000000000029F88',0.998394576946996,0,250000
43,1000000,250000,sine,37425,18.303196,-5.0,b'FF9F1D9C0F9D1B0B',-5.0db_10.0sigma_haystacks/2018-03-30_202624__137.txt,10.0,b'00000000000091CF',0.9985216623314169,0,250000
44,1000000,250000,sine,303274,18.284776,-5.0,b'FF9712D83156C99A',-5.0db_10.0sigma_haystacks/2018-03-30_202624__138.txt,10.0,b'000000000004A1CE',0.998398950368336,0,250000
45,1000000,250000,sine,383760,18.24945,-5.0,b'FFA33CDA1731DD0E',-5.0db_10.0sigma_haystacks/2018-03-30_202624__139.txt,10.0,b'000000000005DB08',0.9985845596740499,0,250000
46,1000000,250000,sine,415082,18.214204,-5.0,b'FFA08EA736116AF7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__14.txt,10.0,b'0000000000065682',0.9985436590414501,0,250000
47,1000000,250000,sine,213446,18.285531,-5.0,b'FF930937D9F711B3',-5.0db_10.0sigma_haystacks/2018-03-30_202624__140.txt,10.0,b'000000000003424B',0.998337341437914,0,250000
