,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
0,1000000,250000.0,sine,248742.0,18.449594,-20.0,b'FFD0F30A11794DDA',sweepsize_test/2018-04-16_154123__0.txt,10.0,b'0000000000000000',0.9992820643978793,0,1024
1,1000000,250000.0,sine,734404.0,18.475939,-20.0,b'FFD24B0F42042BE5',sweepsize_test/2018-04-16_154123__1.txt,10.0,b'0000000000000000',0.9993025696039842,0,1024
2,1000000,250000.0,sine,338762.0,18.473272,-20.0,b'FFD30587B844EAA0',sweepsize_test/2018-04-16_154123__10.txt,10.0,b'0000000000000000',0.99931368411514,0,1024
3,1000000,250000.0,sine,657701.0,18.376462,-20.0,b'FFD1E2B9F30E1798',sweepsize_test/2018-04-16_154123__11.txt,10.0,b'0000000000000000',0.999296350858508,0,1024
4,1000000,250000.0,sine,381678.0,18.448102,-20.0,b'FFD1AC8963609074',sweepsize_test/2018-04-16_154123__12.txt,10.0,b'0000000000000000',0.9992931209011452,0,1024
5,1000000,250000.0,sine,609086.0,18.400129,-20.0,b'FFD16283EE06886F',sweepsize_test/2018-04-16_154123__13.txt,10.0,b'0000000000000000',0.9992887088865476,0,1024
6,1000000,250000.0,sine,397606.0,18.430061,-20.0,b'FFD0DCAF63132922',sweepsize_test/2018-04-16_154123__14.txt,10.0,b'0000000000000000',0.9992807319823211,0,1024
7,1000000,250000.0,sine,84553.0,18.507125,-20.0,b'FFD2BC1998581381',sweepsize_test/2018-04-16_154123__15.txt,10.0,b'0000000000000000',0.9993093073356648,0,1024
8,1000000,250000.0,sine,708768.0,18.525922,-20.0,b'FFD1791E933612CA',sweepsize_test/2018-04-16_154123__16.txt,10.0,b'0000000000000000',0.9992900561948874,0,1024
9,1000000,250000.0,sine,74328.0,18.454513000000002,-20.0,b'FFD145A387DC2D7C',sweepsize_test/2018-04-16_154123__17.txt,10.0,b'0000000000000000',0.999286987709511,0,1024
10,1000000,250000.0,sine,245297.0,18.381567999999998,-20.0,b'FFD14B3639009ED4',sweepsize_test/2018-04-16_154123__18.txt,10.0,b'0000000000000000',0.9992873198871188,0,1024
11,1000000,250000.0,sine,584628.0,18.434910000000002,-20.0,b'FFD1EE5AA6F68409',sweepsize_test/2018-04-16_154123__19.txt,10.0,b'0000000000000000',0.9992970439261292,0,1024
12,1000000,250000.0,sine,311542.0,18.572035999999997,-20.0,b'FFD279A2F48A2527',sweepsize_test/2018-04-16_154123__2.txt,10.0,b'0000000000000000',0.9993053458061146,0,1024
13,1000000,250000.0,sine,479166.0,18.440988,-20.0,b'FFD22F6336BDE139',sweepsize_test/2018-04-16_154123__20.txt,10.0,b'0000000000000000',0.9993009202214505,0,1024
14,1000000,250000.0,sine,579705.0,18.574291,-20.0,b'FFD1EFBCE2FBD8E6',sweepsize_test/2018-04-16_154123__21.txt,10.0,b'0000000000000000',0.9992971264027654,0,1024
15,1000000,250000.0,sine,8089.0,18.498051999999998,-20.0,b'FFD2882D6F799B61',sweepsize_test/2018-04-16_154123__22.txt,10.0,b'0000000000000000',0.9993062125135792,0,1024
16,1000000,250000.0,sine,42606.0,18.583298000000006,-20.0,b'FFD174BB27BB9EA0',sweepsize_test/2018-04-16_154123__23.txt,10.0,b'0000000000000000',0.9992897946283236,0,1024
17,1000000,250000.0,sine,277598.0,18.502747,-20.0,b'FFD1C8772D5D1B28',sweepsize_test/2018-04-16_154123__24.txt,10.0,b'0000000000000000',0.9992947855911222,0,1024
18,1000000,250000.0,sine,133511.0,18.479947,-20.0,b'FFD2AEA3BC6BEAC9',sweepsize_test/2018-04-16_154123__25.txt,10.0,b'0000000000000000',0.9993085050340792,0,1024
19,1000000,250000.0,sine,718561.0,18.551171,-20.0,b'FFD194776F97D1D5',sweepsize_test/2018-04-16_154123__26.txt,10.0,b'0000000000000000',0.9992916862098292,0,1024
20,1000000,250000.0,sine,670838.0,18.448447,-20.0,b'FFD0AFE44AFF84FB',sweepsize_test/2018-04-16_154123__27.txt,10.0,b'0000000000000000',0.9992780620914328,0,1024
21,1000000,250000.0,sine,390649.0,18.497442000000003,-20.0,b'FFD25E4FB881FBB5',sweepsize_test/2018-04-16_154123__28.txt,10.0,b'0000000000000000',0.9993037171011636,0,1024
22,1000000,250000.0,sine,47971.0,18.471812,-20.0,b'FFD0B21BBE301283',sweepsize_test/2018-04-16_154123__29.txt,10.0,b'0000000000000000',0.999278194211172,0,1024
23,1000000,250000.0,sine,417916.0,18.487108,-20.0,b'FFD25707211567A4',sweepsize_test/2018-04-16_154123__3.txt,10.0,b'0000000000000000',0.9993032829671245,0,1024
24,1000000,250000.0,sine,724628.0,18.514344,-20.0,b'FFD15F24F47EE213',sweepsize_test/2018-04-16_154123__30.txt,10.0,b'0000000000000000',0.9992885079595868,0,1024
25,1000000,250000.0,sine,265802.0,18.456328,-20.0,b'FFD1ABD98B694EF5',sweepsize_test/2018-04-16_154123__31.txt,10.0,b'0000000000000000',0.9992930799593628,0,1024
26,1000000,250000.0,sine,395804.0,18.478257,-20.0,b'FFD123294C52381D',sweepsize_test/2018-04-16_154123__32.txt,10.0,b'0000000000000000',0.9992849326920996,0,1024
27,1000000,250000.0,sine,735098.0,18.451423000000002,-20.0,b'FFD1D0666B4FEEF4',sweepsize_test/2018-04-16_154123__33.txt,10.0,b'0000000000000000',0.9992952585265014,0,1024
