,NeedleType,entropy_hex,file_name,sigma,start_window,HstackSize,NeedleSize,StartSam,dSNR,norm_entropy
43,noise,b'FFF0128966243C0B',./haystacks/2018-03-22_143501__137.txt,28.0714257482,b'000000000008EE89',,,,,0.9997569642493014
44,noise,b'FFF05D1EE198989B',./haystacks/2018-03-22_143501__138.txt,28.0714257482,b'00000000000C2949',,,,,0.9997614097970619
45,noise,b'FFEF35B9073E9CC3',./haystacks/2018-03-22_143501__139.txt,28.0714257482,b'0000000000077EAA',,,,,0.9997438027123686
46,noise,b'FFEF85F9DC46D665',./haystacks/2018-03-22_143501__14.txt,28.0714257482,b'0000000000035F1E',,,,,0.9997485861788634
47,noise,b'FFEF7917A197FC13',./haystacks/2018-03-22_143501__140.txt,28.0714257482,b'00000000000358FD',,,,,0.9997478182500288
48,noise,b'FFEF2811F1A02B16',./haystacks/2018-03-22_143501__141.txt,28.0714257482,b'000000000005EBE2',,,,,0.9997429889496067
49,noise,b'FFEEB183CF09555D',./haystacks/2018-03-22_143501__142.txt,28.0714257482,b'000000000007BB4A',,,,,0.9997359225081132
50,noise,b'FFEF89046DD50001',./haystacks/2018-03-22_143501__143.txt,28.0714257482,b'0000000000044C5C',,,,,0.999748767453486
51,noise,b'FFEED19B328052B1',./haystacks/2018-03-22_143501__144.txt,28.0714257482,b'0000000000045080',,,,,0.9997378353023134
52,noise,b'FFF00B504CE5756D',./haystacks/2018-03-22_143501__145.txt,28.0714257482,b'00000000000CECF0',,,,,0.9997565337224809
53,noise,b'FFEEB08E7A669246',./haystacks/2018-03-22_143501__146.txt,28.0714257482,b'00000000000D9F5B',,,,,0.9997358653876296
54,noise,b'FFEF8CEE75A1C8C9',./haystacks/2018-03-22_143501__147.txt,28.0714257482,b'00000000000BAFFC',,,,,0.9997490007568849
55,noise,b'FFF05A467EEFBB98',./haystacks/2018-03-22_143501__148.txt,28.0714257482,b'0000000000004E8C',,,,,0.9997612402066228
56,noise,b'FFEFA2F531336F6F',./haystacks/2018-03-22_143501__149.txt,28.0714257482,b'00000000000DD4A1',,,,,0.9997503136266468
57,noise,b'FFEFD74646D0C741',./haystacks/2018-03-22_143501__15.txt,28.0714257482,b'0000000000077547',,,,,0.9997534319471156
58,noise,b'FFEFC8F3D3D099E5',./haystacks/2018-03-22_143501__150.txt,28.0714257482,b'000000000001A45B',,,,,0.9997525782853834
59,noise,b'FFF0329B0066DADF',./haystacks/2018-03-22_143501__151.txt,28.0714257482,b'00000000000DB3E5',,,,,0.9997588756963539
60,noise,b'FFEFA667452E996F',./haystacks/2018-03-22_143501__152.txt,28.0714257482,b'00000000000D0203',,,,,0.9997505190014472
61,noise,b'FFEF4B1DB14E8148',./haystacks/2018-03-22_143501__153.txt,28.0714257482,b'00000000000D4329',,,,,0.9997450778476438
62,noise,b'FFEFB13D5C5DED27',./haystacks/2018-03-22_143501__154.txt,28.0714257482,b'00000000000F23E1',,,,,0.9997511648947393
63,noise,b'FFEFF6DF24C0226B',./haystacks/2018-03-22_143501__155.txt,28.0714257482,b'000000000003AC3C',,,,,0.9997553152832102
64,noise,b'FFEFB59CBBBDAD78',./haystacks/2018-03-22_143501__156.txt,28.0714257482,b'00000000000548AA',,,,,0.9997514255189717
65,noise,b'FFEEA01CD72F5282',./haystacks/2018-03-22_143501__157.txt,28.0714257482,b'0000000000058228',,,,,0.9997348852550065
66,noise,b'FFEFCA884CC8FDC6',./haystacks/2018-03-22_143501__158.txt,28.0714257482,b'0000000000006AB6',,,,,0.9997526724589854
