,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy
0,1000000,250000,sine,0,0.5,b'FFC133EC3C2ADCD9',./haystacks/2018-03-22_133852__0.txt,24.6350700819108,b'00000000000022C4',0.9990417911287
1,1000000,250000,sine,0,0.5,b'FFDFBE40A86EE62C',./haystacks/2018-03-22_133852__1.txt,24.6350700819108,b'000000000001EF09',0.9995077998977951
2,1000000,250000,sine,0,0.5,b'FFEF0F4629895D32',./haystacks/2018-03-22_133852__10.txt,24.6350700819108,b'0000000000092D6A',0.9997415109915315
3,1000000,250000,sine,0,0.5,b'FFC28CF4007CC693',./haystacks/2018-03-22_133852__100.txt,24.6350700819108,b'0000000000031BAB',0.9990623565395139
4,1000000,250000,sine,0,0.5,b'FFEFBFB926A2FD6F',./haystacks/2018-03-22_133852__101.txt,24.6350700819108,b'000000000000C70F',0.9997520281818986
5,1000000,250000,sine,0,0.5,b'FFED99BF47FDE40C',./haystacks/2018-03-22_133852__102.txt,24.6350700819108,b'0000000000000006',0.9997192470545923
6,1000000,250000,sine,0,0.5,b'FFEDFAAC7B7C8AA1',./haystacks/2018-03-22_133852__103.txt,24.6350700819108,b'000000000002D631',0.9997250243281873
7,1000000,250000,sine,0,0.5,b'FFEDCA824AA6B492',./haystacks/2018-03-22_133852__104.txt,24.6350700819108,b'0000000000034EC2',0.9997221534819357
8,1000000,250000,sine,0,0.5,b'FFEEAB6A0CBB4A02',./haystacks/2018-03-22_133852__105.txt,24.6350700819108,b'000000000002D271',0.9997355588827591
9,1000000,250000,sine,0,0.5,b'FFDD90E014C0952B',./haystacks/2018-03-22_133852__106.txt,24.6350700819108,b'000000000002B7B4',0.9994745776245985
10,1000000,250000,sine,0,0.5,b'FFEF8BD58ABC11FA',./haystacks/2018-03-22_133852__107.txt,24.6350700819108,b'000000000005D0F3',0.9997489353506668
11,1000000,250000,sine,0,0.5,b'FFEE01BAF1564674',./haystacks/2018-03-22_133852__108.txt,24.6350700819108,b'000000000000B982',0.9997254449275143
12,1000000,250000,sine,0,0.5,b'FFDB05A0BEABD7CC',./haystacks/2018-03-22_133852__109.txt,24.6350700819108,b'0000000000020998',0.9994357602542289
13,1000000,250000,sine,0,0.5,b'FFEF118C517AF493',./haystacks/2018-03-22_133852__11.txt,24.6350700819108,b'000000000005B3B2',0.9997416465352947
14,1000000,250000,sine,0,0.5,b'FFE9D70326662BBB',./haystacks/2018-03-22_133852__110.txt,24.6350700819108,b'000000000001CCE7',0.9996618635836049
15,1000000,250000,sine,0,0.5,b'FFEA04789F3729E3',./haystacks/2018-03-22_133852__111.txt,24.6350700819108,b'000000000003215E',0.999664573143687
16,1000000,250000,sine,0,0.5,b'FFDAAFBD1EEB56B7',./haystacks/2018-03-22_133852__112.txt,24.6350700819108,b'000000000000652A',0.9994306408615733
17,1000000,250000,sine,0,0.5,b'FFEF0374191FBBF2',./haystacks/2018-03-22_133852__113.txt,24.6350700819108,b'00000000000893D9',0.9997408064310765
18,1000000,250000,sine,0,0.5,b'FFC242F63F406CFF',./haystacks/2018-03-22_133852__114.txt,24.6350700819108,b'00000000000140F5',0.9990579463185456
19,1000000,250000,sine,0,0.5,b'FFC300AFD3E3AC8B',./haystacks/2018-03-22_133852__115.txt,24.6350700819108,b'0000000000017CA5',0.9990692548052624
20,1000000,250000,sine,0,0.5,b'FFEDB3B3AE0B573D',./haystacks/2018-03-22_133852__116.txt,24.6350700819108,b'0000000000054A7E',0.9997207940742049
21,1000000,250000,sine,0,0.5,b'FFEB135FAE17F44E',./haystacks/2018-03-22_133852__117.txt,24.6350700819108,b'000000000000AFC9',0.9996807201951866
