,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
0,1000000,250000.0,sine,386340.0,5.0,b'FF9AC8FFF528FF00',5.0db_10.0sigma_haystacks/2018-03-29_173412__0.txt,10.0,b'000000000008EDBF',0.998455584039366,10,5000
1,1000000,250000.0,sine,316428.0,5.0,b'FFF360969A343B11',5.0db_10.0sigma_haystacks/2018-03-29_173412__1.txt,10.0,b'0000000000000000',0.9998073928529302,10,5000
2,1000000,250000.0,sine,389798.0,5.0,b'FF4FA765234910CC',5.0db_10.0sigma_haystacks/2018-03-29_173412__2.txt,10.0,b'00000000000625D9',0.997309171859602,10,5000
3,1000000,250000.0,sine,55465.0,5.0,b'FFF39920AAD80219',5.0db_10.0sigma_haystacks/2018-03-29_173412__3.txt,10.0,b'00000000000246CA',0.9998107628588002,10,5000
4,1000000,250000.0,sine,337603.0,5.0,b'FF63034EDA303F9E',5.0db_10.0sigma_haystacks/2018-03-29_173412__4.txt,10.0,b'000000000005F60D',0.9976045672903532,10,5000
5,1000000,250000.0,sine,420494.0,5.0,b'FF43273CDB618758',5.0db_10.0sigma_haystacks/2018-03-29_173412__5.txt,10.0,b'000000000007903A',0.9971184276176982,10,5000
6,1000000,250000.0,sine,287837.0,5.0,b'FFF0D0D0DEEB7475',5.0db_10.0sigma_haystacks/2018-03-29_173412__6.txt,10.0,b'00000000000484B6',0.9997683057726316,10,5000
7,1000000,250000.0,sine,75992.0,5.0,b'FFE6456FCAB68FCB',5.0db_10.0sigma_haystacks/2018-03-29_173412__7.txt,10.0,b'0000000000044A72',0.9996074102334324,10,5000
8,1000000,250000.0,sine,647017.0,5.0,b'FFE8FB4035D35F87',5.0db_10.0sigma_haystacks/2018-03-29_173412__8.txt,10.0,b'00000000000C79DB',0.999648764778454,10,5000
9,1000000,250000.0,sine,374980.0,5.0,b'FF57A588DD2A4AD7',5.0db_10.0sigma_haystacks/2018-03-29_173412__9.txt,10.0,b'000000000008BC13',0.9974311312809416,10,5000
10,1000000,,noise,,,b'FFF312A7980C8FCF',5.0db_10.0sigma_haystacks/2018-03-29_175746__0.txt,10.0,b'0000000000000000',0.9998027476467988,10,5000
11,1000000,,noise,,,b'FFF2B918FDA0152F',5.0db_10.0sigma_haystacks/2018-03-29_175746__1.txt,10.0,b'0000000000000000',0.9997974096310148,10,5000
12,1000000,,noise,,,b'FFF423A1E8A1DA79',5.0db_10.0sigma_haystacks/2018-03-29_175746__2.txt,10.0,b'00000000000882E1',0.9998190183911284,10,5000
13,1000000,,noise,,,b'FFF384EFB7CC0ED3',5.0db_10.0sigma_haystacks/2018-03-29_175746__3.txt,10.0,b'0000000000000000',0.9998095593689842,10,5000
14,1000000,,noise,,,b'FFF30C3A7385F037',5.0db_10.0sigma_haystacks/2018-03-29_175746__4.txt,10.0,b'0000000000033254',0.9998023646071701,10,5000
15,1000000,,noise,,,b'FFF37737C6B01712',5.0db_10.0sigma_haystacks/2018-03-29_175746__5.txt,10.0,b'00000000000651CF',0.9998087416813068,10,5000
16,1000000,,noise,,,b'FFF25AFF42D2B157',5.0db_10.0sigma_haystacks/2018-03-29_175746__6.txt,10.0,b'0000000000000000',0.9997918008037441,10,5000
17,1000000,,noise,,,b'FFF28BB05D7B4184',5.0db_10.0sigma_haystacks/2018-03-29_175746__7.txt,10.0,b'000000000001F485',0.9997947030619628,10,5000
18,1000000,,noise,,,b'FFF4234771B0E37F',5.0db_10.0sigma_haystacks/2018-03-29_175746__8.txt,10.0,b'000000000005B44E',0.9998189973281941,10,5000
19,1000000,,noise,,,b'FFF2DEFB8BF8AFB1',5.0db_10.0sigma_haystacks/2018-03-29_175746__9.txt,10.0,b'0000000000000000',0.99979966775206,10,5000
20,1000000,250000.0,sine,225715.0,5.0,b'FFF32380B103C3FF',5.0db_10.0sigma_haystacks/2018-03-29_181746__0.txt,10.0,b'0000000000000000',0.9998037518680708,10,5000
21,1000000,250000.0,sine,255550.0,5.0,b'FFE4A9DF6508882D',5.0db_10.0sigma_haystacks/2018-03-29_181746__1.txt,10.0,b'000000000007982C',0.9995828791043398,10,5000
22,1000000,250000.0,sine,448477.0,5.0,b'FFF39106017A37A0',5.0db_10.0sigma_haystacks/2018-03-29_181746__10.txt,10.0,b'000000000004FC03',0.9998102798140076,10,5000
23,1000000,250000.0,sine,231027.0,5.0,b'FFF2F49397D793AB',5.0db_10.0sigma_haystacks/2018-03-29_181746__11.txt,10.0,b'0000000000046817',0.9998009548506545,10,5000
24,1000000,250000.0,sine,652772.0,5.0,b'FF2FE313F06DCEA6',5.0db_10.0sigma_haystacks/2018-03-29_181746__12.txt,10.0,b'00000000000DB2C6',0.9968244479827526,10,5000
25,1000000,250000.0,sine,656523.0,5.0,b'FFF16FF967E02F65',5.0db_10.0sigma_haystacks/2018-03-29_181746__13.txt,10.0,b'0000000000000000',0.9997777923489372,10,5000
26,1000000,250000.0,sine,505097.0,5.0,b'FF31143E28F7A6E7',5.0db_10.0sigma_haystacks/2018-03-29_181746__14.txt,10.0,b'000000000008F1F0',0.9968426372297176,10,5000
27,1000000,250000.0,sine,406329.0,5.0,b'FFF231F072C1CCC9',5.0db_10.0sigma_haystacks/2018-03-29_181746__15.txt,10.0,b'000000000007FD44',0.9997893535644444,10,5000
28,1000000,250000.0,sine,609158.0,5.0,b'FFF41BE16F13938F',5.0db_10.0sigma_haystacks/2018-03-29_181746__16.txt,10.0,b'00000000000D9575',0.9998185563445772,10,5000
29,1000000,250000.0,sine,479617.0,5.0,b'FFF319BC9463345D',5.0db_10.0sigma_haystacks/2018-03-29_181746__17.txt,10.0,b'000000000003536E',0.9998031697654256,10,5000
30,1000000,250000.0,sine,590279.0,5.0,b'FFF362314EA8E947',5.0db_10.0sigma_haystacks/2018-03-29_181746__18.txt,10.0,b'0000000000043952',0.9998074884776176,10,5000
31,1000000,250000.0,sine,172295.0,5.0,b'FFB104DA410DEFAA',5.0db_10.0sigma_haystacks/2018-03-29_181746__19.txt,10.0,b'000000000005AD59',0.9987948448988886,10,5000
32,1000000,250000.0,sine,677151.0,5.0,b'FFF337B2D65021FF',5.0db_10.0sigma_haystacks/2018-03-29_181746__2.txt,10.0,b'0000000000000000',0.9998049556364212,10,5000
33,1000000,250000.0,sine,76961.0,5.0,b'FF575E4BFEE1C17A',5.0db_10.0sigma_haystacks/2018-03-29_181746__20.txt,10.0,b'000000000002013C',0.9974268851791585,10,5000
34,1000000,250000.0,sine,697663.0,5.0,b'FFF334DD6333F2AE',5.0db_10.0sigma_haystacks/2018-03-29_181746__21.txt,10.0,b'0000000000000000',0.9998047867295126,10,5000
35,1000000,250000.0,sine,721189.0,5.0,b'FF7F8FD9D3EAC1B4',5.0db_10.0sigma_haystacks/2018-03-29_181746__22.txt,10.0,b'00000000000E517C',0.9980401903921274,10,5000
36,1000000,250000.0,sine,95058.0,5.0,b'FFEE1D33D8EDAEBC',5.0db_10.0sigma_haystacks/2018-03-29_181746__23.txt,10.0,b'000000000004935A',0.9997270824032316,10,5000
37,1000000,250000.0,sine,24912.0,5.0,b'FFF203665968EBEB',5.0db_10.0sigma_haystacks/2018-03-29_181746__24.txt,10.0,b'0000000000000000',0.9997865795971028,10,5000
38,1000000,250000.0,sine,287869.0,5.0,b'FFF28066A10E7172',5.0db_10.0sigma_haystacks/2018-03-29_181746__25.txt,10.0,b'0000000000000000',0.9997940302428618,10,5000
39,1000000,250000.0,sine,43112.0,5.0,b'FFC3FF6EABAEDCE1',5.0db_10.0sigma_haystacks/2018-03-29_181746__26.txt,10.0,b'0000000000016B09',0.9990844388191208,10,5000
40,1000000,250000.0,sine,727773.0,5.0,b'FFB07204EC228181',5.0db_10.0sigma_haystacks/2018-03-29_181746__27.txt,10.0,b'00000000000D27A7',0.9987860929505904,10,5000
