,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,geometry,norm_entropy,sigma,start_window,sweep size (bytes)
0,1000000,250000.0,sine,86640.0,14.190098,10.0,b'BFEAC440BC3718C0',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__0.txt,0,0.7496760042233429,10.0,b'00000000000152BF',250000
1,1000000,250000.0,sine,170642.0,14.150466,10.0,b'C0355D215A507A1D',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__1.txt,0,0.7508142668178283,10.0,b'0000000000029AE2',250000
2,1000000,250000.0,sine,257771.0,14.172111,10.0,b'C00B27AFD605CEE9',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__10.txt,0,0.7501702122008489,10.0,b'000000000003EF3B',250000
3,1000000,250000.0,sine,197898.0,14.132162,10.0,b'BFF79E7A317E9C3D',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__11.txt,0,0.7498721168826656,10.0,b'0000000000030558',250000
4,1000000,250000.0,sine,216376.0,14.07435,10.0,b'C019BA022F8F816B',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__12.txt,0,0.7503925566994081,10.0,b'0000000000034D88',250000
5,1000000,250000.0,sine,180957.0,14.066272,10.0,b'BFFEEC042024A25E',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__13.txt,0,0.7499835500785985,10.0,b'000000000002C32C',250000
6,1000000,250000.0,sine,536705.0,14.199098,10.0,b'BFFF7F8FEAACC5F8',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__14.txt,0,0.7499923445090416,10.0,b'00000000000830D0',250000
7,1000000,250000.0,sine,559498.0,14.133337,10.0,b'C023C449333617CB',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__15.txt,0,0.7505457571707769,10.0,b'00000000000889DB',250000
8,1000000,250000.0,sine,156748.0,14.051348,10.0,b'C01BAA6938A4F758',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__16.txt,0,0.7504221445930347,10.0,b'000000000002649C',250000
9,1000000,250000.0,sine,344130.0,14.183521,10.0,b'C028F357DB19AF95',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__17.txt,0,0.7506248559467171,10.0,b'0000000000054092',250000
10,1000000,250000.0,sine,524621.0,14.067279999999998,10.0,b'C01B8D8B7FA2DAA2',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__18.txt,0,0.7504204240391447,10.0,b'000000000008019D',250000
11,1000000,250000.0,sine,310203.0,14.102859,10.0,b'BFF4579734F8FB3A',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__19.txt,0,0.7498221153409509,10.0,b'000000000004BC0C',250000
12,1000000,250000.0,sine,117688.0,14.133139000000002,10.0,b'C01E8F900EB85857',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__2.txt,0,0.7504663206770784,10.0,b'000000000001CC08',250000
13,1000000,250000.0,sine,86928.0,14.096448,10.0,b'BFFC99C8907D5900',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__20.txt,0,0.7499481310519419,10.0,b'00000000000153E2',250000
14,1000000,250000.0,sine,532086.0,14.086223,10.0,b'C022FD68BBBF4823',10.0db_10.0sigma_haystacks/sine/2018-05-07_000832__21.txt,0,0.7505339031883952,10.0,b'0000000000081EC6',250000
