,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,energy,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
0,1000000,250000,chirp,262519,-13.0,18.447981,b'FFF3B7CCEE8ADA21',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__0.txt,10.0,b'0000000000000000',0.9998125911065857,0,250000
1,1000000,250000,chirp,499224,-13.0,18.501919,b'FFF470BF20E061FD',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__1.txt,10.0,b'0000000000000000',0.9998236147520188,0,250000
2,1000000,250000,chirp,314227,-13.0,18.469059,b'FFF40CDF90444788',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__10.txt,10.0,b'0000000000000000',0.9998176618394307,0,250000
3,1000000,250000,chirp,12634,-13.0,18.37873,b'FFF1A337E8A20C34',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__100.txt,10.0,b'0000000000000000',0.9997808467384248,0,250000
4,1000000,250000,chirp,84350,-13.0,18.429501,b'FFF323A38DFB6356',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__101.txt,10.0,b'0000000000000000',0.9998037599852814,0,250000
5,1000000,250000,chirp,544209,-13.0,18.367966,b'FFF42E74EDD8212B',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__102.txt,10.0,b'0000000000000000',0.9998196635695824,0,250000
6,1000000,250000,chirp,633982,-13.0,18.424799,b'FFF4497F628CDC1C',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__103.txt,10.0,b'0000000000000000',0.9998212753294413,0,250000
7,1000000,250000,chirp,107853,-13.0,18.490131,b'FFF26542F03DD77C',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__104.txt,10.0,b'0000000000000000',0.9997924126075682,0,250000
8,1000000,250000,chirp,558297,-13.0,18.456466,b'FFF3D1E5914BF385',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__105.txt,10.0,b'0000000000000000',0.9998141465633095,0,250000
9,1000000,250000,chirp,113150,-13.0,18.404774,b'FFF46B19B4FF76C4',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__106.txt,10.0,b'0000000000000000',0.9998232782136237,0,250000
10,1000000,250000,chirp,314898,-13.0,18.538249,b'FFF40A3C6F46AAA5',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__107.txt,10.0,b'0000000000000000',0.9998175046487413,0,250000
11,1000000,250000,chirp,80220,-13.0,18.442687,b'FFF3B224059DA748',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__108.txt,10.0,b'0000000000000000',0.9998122537559683,0,250000
12,1000000,250000,chirp,417933,-13.0,18.426189,b'FFF43095A5D09F51',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__109.txt,10.0,b'0000000000000000',0.9998197903967729,0,250000
13,1000000,250000,chirp,716393,-13.0,18.396662,b'FFF4E6AA1ABA3F99',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__11.txt,10.0,b'0000000000000000',0.9998306432050663,0,250000
14,1000000,250000,chirp,548221,-13.0,18.427349,b'FFF3991B6C88BECC',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__110.txt,10.0,b'0000000000000000',0.9998107616379768,0,250000
15,1000000,250000,chirp,574211,-13.0,18.506912,b'FFF4E0B82334E5FB',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__111.txt,10.0,b'0000000000000000',0.9998302888445384,0,250000
16,1000000,250000,chirp,461286,-13.0,18.405799,b'FFF407EA5E0991AD',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__112.txt,10.0,b'0000000000000000',0.9998173663316605,0,250000
17,1000000,250000,chirp,327312,-13.0,18.406929,b'FFF54A448D97E69A',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__113.txt,10.0,b'0000000000000000',0.9998365800252881,0,250000
18,1000000,250000,chirp,21283,-13.0,18.462499,b'FFF30DFE17B52878',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__114.txt,10.0,b'0000000000000000',0.999802469763115,0,250000
19,1000000,250000,chirp,314727,-13.0,18.466795,b'FFF4F94071511672',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__115.txt,10.0,b'0000000000000000',0.9998317510920213,0,250000
20,1000000,250000,chirp,703055,-13.0,18.471844,b'FFF43D5AE3842C67',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__116.txt,10.0,b'0000000000000000',0.9998205515762641,0,250000
21,1000000,250000,chirp,24973,-13.0,18.453339,b'FFF29647237E3AEC',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__117.txt,10.0,b'0000000000000000',0.9997953342130977,0,250000
22,1000000,250000,chirp,700033,-13.0,18.344531,b'FFF577F4322E8B54',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__118.txt,10.0,b'0000000000000000',0.9998393031293579,0,250000
23,1000000,250000,chirp,720151,-13.0,18.415196,b'FFF31C9032D181F7',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__119.txt,10.0,b'0000000000000000',0.9998033382460729,0,250000
24,1000000,250000,chirp,583105,-13.0,18.459527,b'FFF364D936EEA111',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__12.txt,10.0,b'0000000000000000',0.9998076467808752,0,250000
25,1000000,250000,chirp,696949,-13.0,18.515099,b'FFF46AFC1852BC98',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__120.txt,10.0,b'0000000000000000',0.9998232713190403,0,250000
26,1000000,250000,chirp,479375,-13.0,18.420622,b'FFF4A9008FAE8705',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__121.txt,10.0,b'0000000000000000',0.9998269678468948,0,250000
27,1000000,250000,chirp,504336,-13.0,18.408111,b'FFF36F42C3E561E1',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__122.txt,10.0,b'0000000000000000',0.9998082674027464,0,250000
28,1000000,250000,chirp,481815,-13.0,18.467283,b'FFF4B475D9AFBE27',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__123.txt,10.0,b'0000000000000000',0.9998276508064796,0,250000
29,1000000,250000,chirp,222340,-13.0,18.344445,b'FFF3C9E57DF44E67',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__124.txt,10.0,b'0000000000000000',0.9998136697085596,0,250000
30,1000000,250000,chirp,508412,-13.0,18.540254,b'FFF3FE5D24844993',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__125.txt,10.0,b'0000000000000000',0.9998167970084221,0,250000
31,1000000,250000,chirp,165237,-13.0,18.475111,b'FFF464FC0D93C5FF',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__126.txt,10.0,b'0000000000000000',0.9998229136813982,0,250000
32,1000000,250000,chirp,464839,-13.0,18.403748,b'FFF4DF8607D303A8',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__127.txt,10.0,b'0000000000000000',0.9998302175734572,0,250000
33,1000000,250000,chirp,552193,-13.0,18.449326,b'FFF262905EF26F32',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__128.txt,10.0,b'0000000000000000',0.9997922518222795,0,250000
34,1000000,250000,chirp,632273,-13.0,18.461118,b'FFF42CCF7B685D53',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__129.txt,10.0,b'0000000000000000',0.999819565443802,0,250000
35,1000000,250000,chirp,681668,-13.0,18.437516,b'FFF512EBBCCEB816',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__13.txt,10.0,b'0000000000000000',0.9998332810908391,0,250000
36,1000000,250000,chirp,676272,-13.0,18.464798,b'FFF4A9A8B3F213A4',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__130.txt,10.0,b'0000000000000000',0.9998270069954247,0,250000
37,1000000,250000,chirp,88483,-13.0,18.396697,b'FFF4CAE49535EEB5',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__131.txt,10.0,b'0000000000000000',0.9998289878905877,0,250000
38,1000000,250000,chirp,458109,-13.0,18.552314,b'FFF3F8809D4311DC',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__132.txt,10.0,b'0000000000000000',0.9998164476394431,0,250000
39,1000000,250000,chirp,466844,-13.0,18.565067,b'FFF3BD3C95BC971D',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__133.txt,10.0,b'0000000000000000',0.9998129151260734,0,250000
40,1000000,250000,chirp,732083,-13.0,18.483559,b'FFF5CA78863E727E',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__134.txt,10.0,b'0000000000000000',0.9998442215203285,0,250000
41,1000000,250000,chirp,546170,-13.0,18.45905,b'FFF4C643BA6EC43F',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__135.txt,10.0,b'0000000000000000',0.9998287120201282,0,250000
42,1000000,250000,chirp,406782,-13.0,18.429873,b'FFF3E626387BF95A',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__136.txt,10.0,b'0000000000000000',0.9998153537094224,0,250000
43,1000000,250000,chirp,319694,-13.0,18.524337,b'FFF49A4725E12C12',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__137.txt,10.0,b'0000000000000000',0.9998260902119724,0,250000
44,1000000,250000,chirp,277755,-13.0,18.417929,b'FFF4AAC165DEAE2E',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__138.txt,10.0,b'0000000000000000',0.9998270723498262,0,250000
45,1000000,250000,chirp,676549,-13.0,18.450634,b'FFF3E9276B7C1BB8',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__139.txt,10.0,b'0000000000000000',0.9998155328025721,0,250000
46,1000000,250000,chirp,170543,-13.0,18.470077,b'FFF473AC85CEF4D8',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__14.txt,10.0,b'0000000000000000',0.999823789233968,0,250000
47,1000000,250000,chirp,477666,-13.0,18.500169,b'FFF38F66F656497B',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__140.txt,10.0,b'0000000000000000',0.9998101831791583,0,250000
48,1000000,250000,chirp,685193,-13.0,18.479525,b'FFF2EF3C179B7642',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__141.txt,10.0,b'0000000000000000',0.9998006364545357,0,250000
49,1000000,250000,chirp,432074,-13.0,18.516403,b'FFF4B14B6FE712D4',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__142.txt,10.0,b'0000000000000000',0.9998274621174483,0,250000
50,1000000,250000,chirp,337324,-13.0,18.398303,b'FFF42E0A9EB16F3B',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__143.txt,10.0,b'0000000000000000',0.9998196388175467,0,250000
51,1000000,250000,chirp,332533,-13.0,18.448957,b'FFF55ACA62700CAD',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__144.txt,10.0,b'0000000000000000',0.9998375648596609,0,250000
52,1000000,250000,chirp,472273,-13.0,18.423179,b'FFF392625B3C3009',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__145.txt,10.0,b'0000000000000000',0.9998103609207056,0,250000
53,1000000,250000,chirp,378902,-13.0,18.50229,b'FFF4360BCC600FD0',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__146.txt,10.0,b'0000000000000000',0.9998201159290832,0,250000
54,1000000,250000,chirp,246365,-13.0,18.510938,b'FFF50BB5EA12B4CA',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__147.txt,10.0,b'0000000000000000',0.9998328513266398,0,250000
55,1000000,250000,chirp,134854,-13.0,18.474759,b'FFF2DDC95C4ADDF4',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__148.txt,10.0,b'0000000000000000',0.9997995964625193,0,250000
56,1000000,250000,chirp,605390,-13.0,18.48586,b'FFF4002BEEA17410',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__149.txt,10.0,b'0000000000000000',0.9998169047600011,0,250000
57,1000000,250000,chirp,667657,-13.0,18.420961,b'FFF51620E2E6B16A',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__15.txt,10.0,b'0000000000000000',0.9998334722794435,0,250000
58,1000000,250000,chirp,135213,-13.0,18.455655,b'FFF44F940F25507E',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__150.txt,10.0,b'0000000000000000',0.9998216377708975,0,250000
59,1000000,250000,chirp,461447,-13.0,18.466981,b'FFF3E1FACB78D5AC',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__151.txt,10.0,b'0000000000000000',0.9998151051799796,0,250000
60,1000000,250000,chirp,123873,-13.0,18.4968,b'FFF2C3F1C6A01E76',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__152.txt,10.0,b'0000000000000000',0.9997980561516902,0,250000
61,1000000,250000,chirp,245322,-13.0,18.559584,b'FFF33137E09A3CE5',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__153.txt,10.0,b'0000000000000000',0.9998045693797417,0,250000
62,1000000,250000,chirp,17578,-13.0,18.468187,b'FFF4471793C2BE1A',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__154.txt,10.0,b'0000000000000000',0.9998211319505215,0,250000
63,1000000,250000,chirp,333616,-13.0,18.51334,b'FFF4105B240FFE0A',-13.0db_10.0sigma_haystacks/chirp/2018-05-15_220513__155.txt,10.0,b'0000000000000000',0.9998178694259536,0,250000
