,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,energy,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
0,1000000,250000,chirp,79714,-12.0,18.551551,b'FFF32138D9CC6E1C',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__0.txt,10.0,b'0000000000000000',0.9998036159320678,0,250000
1,1000000,250000,chirp,221572,-12.0,18.377188,b'FFF249E5A849D77A',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__1.txt,10.0,b'0000000000000000',0.9997907815634685,0,250000
2,1000000,250000,chirp,345779,-12.0,18.493107,b'FFF30305188EDA6F',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__10.txt,10.0,b'0000000000000000',0.9998018157426104,0,250000
3,1000000,250000,chirp,296153,-12.0,18.498649,b'FFF42F9714B57095',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__100.txt,10.0,b'0000000000000000',0.9998197311258161,0,250000
4,1000000,250000,chirp,135089,-12.0,18.382023,b'FFF458C8AF5F3CFA',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__101.txt,10.0,b'0000000000000000',0.9998221864656189,0,250000
5,1000000,250000,chirp,525790,-12.0,18.31786,b'FFF4C188A679B416',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__102.txt,10.0,b'0000000000000000',0.9998284300440677,0,250000
6,1000000,250000,chirp,525650,-12.0,18.341828,b'FFF4E16534672E45',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__103.txt,10.0,b'0000000000000000',0.9998303291398798,0,250000
7,1000000,250000,chirp,628252,-12.0,18.392704,b'FFF478E97450C68D',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__104.txt,10.0,b'0000000000098C46',0.9998241014439514,0,250000
8,1000000,250000,chirp,667733,-12.0,18.507334,b'FFF36D0DD755C20D',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__105.txt,10.0,b'0000000000000000',0.9998081358711124,0,250000
9,1000000,250000,chirp,316573,-12.0,18.408972,b'FFF46F7EF0375E72',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__106.txt,10.0,b'0000000000000000',0.9998235402019566,0,250000
10,1000000,250000,chirp,619767,-12.0,18.397773,b'FFF414D1F2A4AA65',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__107.txt,10.0,b'0000000000000000',0.9998181355064327,0,250000
11,1000000,250000,chirp,333917,-12.0,18.411337,b'FFF33BCE939629C0',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__108.txt,10.0,b'0000000000000000',0.999805200513571,0,250000
12,1000000,250000,chirp,91766,-12.0,18.414765,b'FFF09AA656DB367C',-12.0db_10.0sigma_haystacks/chirp/2018-05-16_033932__109.txt,10.0,b'0000000000000000',0.9997650772191776,0,250000
