,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,energy,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
0,1000000,250000,chirp,504528,-15.0,18.494911,b'FFF4F1BF0D2615EE',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__0.txt,10.0,b'0000000000000000',0.9998313037332526,0,250000
1,1000000,250000,chirp,182744,-15.0,18.47312,b'FFF3CF71B3968DBE',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__1.txt,10.0,b'0000000000000000',0.9998140003768532,0,250000
2,1000000,250000,chirp,131700,-15.0,18.54539,b'FFF49DA09D5F5B62',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__10.txt,10.0,b'0000000000000000',0.9998262898565121,0,250000
3,1000000,250000,chirp,268862,-15.0,18.474062,b'FFF5369986DFD63A',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__100.txt,10.0,b'0000000000000000',0.9998354077168864,0,250000
4,1000000,250000,chirp,56904,-15.0,18.497115,b'FFF4C248BBEDF165',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__101.txt,10.0,b'0000000000000000',0.9998284747670636,0,250000
5,1000000,250000,chirp,449552,-15.0,18.566508,b'FFF5342478AB107F',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__102.txt,10.0,b'0000000000000000',0.9998352612534911,0,250000
6,1000000,250000,chirp,463661,-15.0,18.458013,b'FFF387AF0F286D67',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__103.txt,10.0,b'0000000000000000',0.9998097231283809,0,250000
7,1000000,250000,chirp,91089,-15.0,18.414121,b'FFF3E6505CDBA3F7',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__104.txt,10.0,b'0000000000000000',0.9998153635213911,0,250000
8,1000000,250000,chirp,216924,-15.0,18.447694,b'FFF42F87417E74C4',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__105.txt,10.0,b'0000000000000000',0.9998197274412578,0,250000
9,1000000,250000,chirp,12531,-15.0,18.398207,b'FFF248065088C606',-15.0db_10.0sigma_haystacks/chirp/2018-05-15_210751__106.txt,10.0,b'0000000000000000',0.9997906699577782,0,250000
