,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,energy,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
0,1000000,250000,chirp,632940,-11.0,18.450944,b'FFF29C4D75EAD3AE',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__0.txt,10.0,b'000000000009A8B7',0.9997956933129146,0,250000
1,1000000,250000,chirp,690414,-11.0,18.491517,b'FFF330253BE1813F',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__1.txt,10.0,b'00000000000A9905',0.9998045054343319,0,250000
2,1000000,250000,chirp,347060,-11.0,18.447708,b'FFF2C5C75DD8FA0F',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__10.txt,10.0,b'00000000000535B8',0.9997981654867977,0,250000
3,1000000,250000,chirp,15937,-11.0,18.429807,b'FFEF0D8292E51CBF',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__100.txt,10.0,b'0000000000000000',0.9997414058479035,0,250000
4,1000000,250000,chirp,281635,-11.0,18.394575,b'FFF350DC79D86815',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__101.txt,10.0,b'0000000000044B99',0.9998064554473288,0,250000
5,1000000,250000,chirp,673236,-11.0,18.461923,b'FFF264C3A2486AFF',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__102.txt,10.0,b'0000000000000000',0.9997923829671734,0,250000
6,1000000,250000,chirp,368791,-11.0,18.473183,b'FFF4F384A6726D26',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__103.txt,10.0,b'0000000000000000',0.9998314093449581,0,250000
7,1000000,250000,chirp,526266,-11.0,18.421839,b'FFF2DA3813DEC8A4',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__104.txt,10.0,b'00000000000804DE',0.999799383822274,0,250000
8,1000000,250000,chirp,296453,-11.0,18.424423,b'FFF2FB90ED86C763',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__105.txt,10.0,b'0000000000000000',0.9998013714626054,0,250000
9,1000000,250000,chirp,316758,-11.0,18.470859,b'FFF3A28626DF899A',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__106.txt,10.0,b'0000000000000000',0.9998113229293023,0,250000
10,1000000,250000,chirp,737805,-11.0,18.558197,b'FFF2EAA2578E0B3C',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__107.txt,10.0,b'0000000000000000',0.9998003622381973,0,250000
11,1000000,250000,chirp,291996,-11.0,18.452292,b'FFF426D7C3992671',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__108.txt,10.0,b'0000000000000000',0.9998192097442354,0,250000
12,1000000,250000,chirp,527732,-11.0,18.35356,b'FFF26E9FACC7F959',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__109.txt,10.0,b'0000000000080FAE',0.9997929706412662,0,250000
13,1000000,250000,chirp,609936,-11.0,18.45292,b'FFF390E7C83A13DE',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__11.txt,10.0,b'0000000000095C1F',0.9998102727770191,0,250000
14,1000000,250000,chirp,424076,-11.0,18.462837,b'FFF328F47D586594',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__110.txt,10.0,b'0000000000068347',0.9998040768526565,0,250000
15,1000000,250000,chirp,451692,-11.0,18.378402,b'FFF396A42F85EB38',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__111.txt,10.0,b'0000000000000000',0.9998106146663513,0,250000
16,1000000,250000,chirp,164097,-11.0,18.494574,b'FFF3A16FB1DF33F9',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__112.txt,10.0,b'0000000000000000',0.9998112580959713,0,250000
17,1000000,250000,chirp,242103,-11.0,18.449746,b'FFF429A62CBF3C12',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__113.txt,10.0,b'000000000003A55F',0.9998193770122699,0,250000
18,1000000,250000,chirp,617228,-11.0,18.40635,b'FFF2196B4497E2FD',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__114.txt,10.0,b'0000000000094E75',0.9997878920445085,0,250000
19,1000000,250000,chirp,339416,-11.0,18.384308,b'FFF20DD9F5274E2C',-11.0db_10.0sigma_haystacks/chirp/2018-05-16_025703__115.txt,10.0,b'0000000000000000',0.9997872025607226,0,250000
